,downstream_delay,downstream_loss,downstream_rate,ts,upstream_delay,upstream_loss,upstream_rate
0,40,0,30000,2021-06-24T14:05:30.000+0900,40,0,15000
1,30,0,30000,2021-06-24T14:05:43.000+0900,30,0,15000
2,135,0,30000,2021-06-24T14:06:47.000+0900,135,0,15000
3,70,0,30000,2021-06-24T14:07:25.000+0900,70,0,15000
4,27,0,30000,2021-06-24T14:07:37.000+0900,27,0,15000
5,39,0,30000,2021-06-24T14:07:49.000+0900,39,0,15000
6,59,0,30000,2021-06-24T14:08:02.000+0900,59,0,15000
7,83,0,30000,2021-06-24T14:08:36.000+0900,83,0,15000
8,23,0,30000,2021-06-24T14:09:26.000+0900,23,0,15000
9,26,0,30000,2021-06-24T14:09:38.000+0900,26,0,15000
10,23,0,30000,2021-06-24T14:12:00.000+0900,23,0,15000
11,22,0,30000,2021-06-24T14:12:15.000+0900,22,0,15000
12,34,0,30000,2021-06-24T14:13:20.000+0900,34,0,15000
13,50,0,30000,2021-06-24T14:13:32.000+0900,50,0,15000
14,62,0,30000,2021-06-24T14:13:46.000+0900,62,0,15000
15,62,0,30000,2021-06-24T14:13:58.000+0900,62,0,15000
16,83,0,30000,2021-06-24T14:14:10.000+0900,83,0,15000
17,71,0,30000,2021-06-24T14:14:23.000+0900,71,0,15000
18,95,0,30000,2021-06-24T14:14:35.000+0900,95,0,15000
19,136,0,30000,2021-06-24T14:14:48.000+0900,136,0,15000
20,124,0,30000,2021-06-24T14:15:01.000+0900,124,0,15000
21,99,0,30000,2021-06-24T14:15:13.000+0900,99,0,15000
22,139,0,30000,2021-06-24T14:15:27.000+0900,139,0,15000
23,107,0,30000,2021-06-24T14:15:39.000+0900,107,0,15000
24,133,0,30000,2021-06-24T14:15:52.000+0900,133,0,15000
25,141,0,30000,2021-06-24T14:16:04.000+0900,141,0,15000
26,140,0,30000,2021-06-24T14:16:16.000+0900,140,0,15000
27,129,0,30000,2021-06-24T14:16:29.000+0900,129,0,15000
28,40,0,30000,2021-06-24T14:16:41.000+0900,40,0,15000
29,48,0,30000,2021-06-24T14:16:53.000+0900,48,0,15000
30,86,0,30000,2021-06-24T14:17:05.000+0900,86,0,15000
31,53,0,30000,2021-06-24T14:17:17.000+0900,53,0,15000
32,39,0,30000,2021-06-24T14:17:29.000+0900,39,0,15000
33,83,0,30000,2021-06-24T14:17:42.000+0900,83,0,15000
34,78,0,30000,2021-06-24T14:17:54.000+0900,78,0,15000
35,60,0,30000,2021-06-24T14:18:06.000+0900,60,0,15000
36,65,0,30000,2021-06-24T14:18:18.000+0900,65,0,15000
37,59,0,30000,2021-06-24T14:18:31.000+0900,59,0,15000
38,106,0,30000,2021-06-24T14:18:43.000+0900,106,0,15000
39,231,0,30000,2021-06-24T14:18:55.000+0900,231,0,15000
40,100,0,30000,2021-06-24T14:19:07.000+0900,100,0,15000
41,648,0,30000,2021-06-24T14:19:21.000+0900,648,0,15000
42,116,0,30000,2021-06-24T14:19:33.000+0900,116,0,15000
43,614,0,30000,2021-06-24T14:19:46.000+0900,614,0,15000
44,32,0,30000,2021-06-24T14:19:59.000+0900,32,0,15000
45,35,0,30000,2021-06-24T14:20:11.000+0900,35,0,15000
46,49,0,30000,2021-06-24T14:20:23.000+0900,49,0,15000
47,33,0,30000,2021-06-24T14:20:35.000+0900,33,0,15000
48,32,0,30000,2021-06-24T14:20:47.000+0900,32,0,15000
49,35,0,30000,2021-06-24T14:20:59.000+0900,35,0,15000
50,48,0,30000,2021-06-24T14:21:11.000+0900,48,0,15000
51,36,0,30000,2021-06-24T14:21:24.000+0900,36,0,15000
52,54,0,30000,2021-06-24T14:21:36.000+0900,54,0,15000
53,110,0,30000,2021-06-24T14:21:48.000+0900,110,0,15000
54,35,0,30000,2021-06-24T14:22:00.000+0900,35,0,15000
55,64,0,30000,2021-06-24T14:22:13.000+0900,64,0,15000
56,32,0,30000,2021-06-24T14:22:25.000+0900,32,0,15000
57,36,0,30000,2021-06-24T14:22:37.000+0900,36,0,15000
58,32,0,30000,2021-06-24T14:22:49.000+0900,32,0,15000
59,47,0,30000,2021-06-24T14:23:01.000+0900,47,0,15000
60,32,0,30000,2021-06-24T14:23:13.000+0900,32,0,15000
61,31,0,30000,2021-06-24T14:23:25.000+0900,31,0,15000
62,77,0,30000,2021-06-24T14:23:37.000+0900,77,0,15000
63,35,0,30000,2021-06-24T14:23:50.000+0900,35,0,15000
64,39,0,30000,2021-06-24T14:24:02.000+0900,39,0,15000
65,34,0,30000,2021-06-24T14:24:14.000+0900,34,0,15000
